Jogador,Idade,Selecao,Posicao,Time,URL
Brenden Aaronson,22,United States,MF,ENG Leeds United,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ali Abdi,28,Tunisia,DF,FR Caen,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Salis Abdul Samed,22,Ghana,MF,FR Lens,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Saud Abdulhamid,23,Saudi Arabia,DF,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Nawaf Al Abed,32,Saudi Arabia,MF,SA Al-Shabab,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Pape Abou Cissé,27,Senegal,DF,GR Olympiacos,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Vincent Aboubakar,30,Cameroon,FW,SA Al-Nassr,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Abdulrahman Al-Aboud,27,Saudi Arabia,MF,SA Al-Ittihad,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Zakaria Aboukhlal,22,Morocco,MFFW,FR Toulouse,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Kellyn Acosta,27,United States,MF,US Los Angeles FC,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Marcos Acuña,31,Argentina,DF,ES Sevilla,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Tyler Adams,23,United States,MF,ENG Leeds United,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Sam Adekugbe,27,Canada,DF,TR Hatayspor,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Michel Aebischer,25,Switzerland,MFFW,IT Bologna,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Akram Afif,26,Qatar,FW,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Nayef Aguerd,26,Morocco,DF,ENG West Ham,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Brandon Aguilera,19,Costa Rica,MF,CR Asociación Deportiva Guanacasteca,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Homam Ahmed,23,Qatar,DF,QA Al-Gharafa Sports Club,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Manuel Akanji,27,Switzerland,DF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Nathan Aké,27,Netherlands,DF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Ahmed Alaaeldin,29,Qatar,FW,QA Al-Gharafa Sports Club,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Jordi Alba,33,Spain,DF,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Toby Alderweireld,33,Belgium,DF,BE Antwerp,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Trent Alexander-Arnold,24,England,DF,ENG Liverpool,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Almoez Ali,26,Qatar,FW,QA Al Duhail SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Alisson,30,Brazil,GK,ENG Liverpool,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Joe Allen,32,Wales,MF,ENG Swansea City,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Roberto Alvarado,24,Mexico,FW,MX Guadalajara,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Edson Álvarez,25,Mexico,MF,NL Ajax,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Julián Álvarez,22,Argentina,MFFW,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Kevin Álvarez,23,Mexico,DF,MX Pachuca,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Selim Amallah,26,Morocco,MF,BE Standard Liège,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Daniel Amartey,27,Ghana,DF,ENG Leicester City,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Ethan Ampadu,22,Wales,MFDF,IT Spezia,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Sofyan Amrabat,26,Morocco,MF,IT Fiorentina,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Abdulelah Al-Amri,25,Saudi Arabia,DFMF,SA Al-Nassr,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Joachim Andersen,26,Denmark,DF,ENG Crystal Palace,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Karim Ansarifard,32,IR Iran,FWMF,CY AC Omonia,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Antony,22,Brazil,FW,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Uriel Antuna,25,Mexico,FW,MX Cruz Azul,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Néstor Araujo,31,Mexico,DF,MX América,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Takuma Asano,28,Japan,FW,DE Bochum,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Marco Asensio,26,Spain,FW,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Ali Assadalla,29,Qatar,MF,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Lawrence Ati-Zigi,26,Ghana,GK,CH St,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Nathaniel Atkinson,23,Australia,DF,SCT Hearts,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Yahya Attiat Allah,27,Morocco,DF,MA Wydad Casablanca,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
André Ayew,32,Ghana,MFFW,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Jordan Ayew,31,Ghana,FW,ENG Crystal Palace,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Sardar Azmoun,27,IR Iran,FW,DE Leverkusen,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
César Azpilicueta,33,Spain,DF,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Srđan Babić,26,Serbia,DF,ES Almería,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Keanu Baccus,24,Australia,MF,SCT St Mirren,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Alexander Bah,24,Denmark,DF,PT Benfica,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Hattan Bahebri,30,Saudi Arabia,MF,SA Al-Shabab,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Alejandro Balde,19,Spain,DF,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Gareth Bale,33,Wales,FW,US Los Angeles FC,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Meshaal Barsham,24,Qatar,GK,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Christian Bassogog,27,Cameroon,MF,CN Shanghai Shen,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Michy Batshuayi,29,Belgium,FW,TR Fenerbahçe,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Aziz Behich,31,Australia,DF,SCT Dundee United,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Alireza Beiranvand,30,IR Iran,GK,IR Persepolis,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Jude Bellingham,19,England,MF,DE Dortmund,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Anis Ben Slimane,21,Tunisia,MF,DK Brøndby,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Jewison Bennette,18,Costa Rica,MF,ENG Sunderland,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Rodrigo Bentancur,25,Uruguay,MF,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Bartosz Bereszyński,30,Poland,DF,IT Sampdoria,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Steven Berghuis,30,Netherlands,MF,NL Ajax,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Steven Bergwijn,25,Netherlands,FW,NL Ajax,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Krystian Bielik,24,Poland,MF,ENG Derby County,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Daley Blind,32,Netherlands,DF,NL Ajax,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Celso Borges,34,Costa Rica,MF,CR Liga Deportiva Alajuelense,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Milan Borjan,35,Canada,GK,RS Red Star,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Karim Boudiaf,32,Qatar,MF,QA Al Duhail SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Sofiane Boufal,29,Morocco,FW,FR Angers,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Yassine Bounou,31,Morocco,GK,ES Sevilla,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Martin Braithwaite,31,Denmark,FWMF,ES Espanyol,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Mohammed Al-Breik,30,Saudi Arabia,DF,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Dylan Bronn,27,Tunisia,DF,IT Salernitana,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Marcelo Brozović,30,Croatia,MF,IT Inter,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Tajon Buchanan,23,Canada,MFDF,BE Club Brugge,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Osman Bukari,23,Ghana,MF,RS Red Star,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Ali Al-Bulaihi,33,Saudi Arabia,DF,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Firas Al-Buraikan,22,Saudi Arabia,MF,SA Al-Fateh,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Sergio Busquets,34,Spain,MF,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Martín Cáceres,35,Uruguay,DF,US LA Galaxy,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Moisés Caicedo,21,Ecuador,MF,ENG Brighton,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Francisco Calvo,30,Costa Rica,DF,TR Konyaspor,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Joel Campbell,30,Costa Rica,FWMF,MX León,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
João Cancelo,28,Portugal,DF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Yannick Carrasco,29,Belgium,DF,ES Atlético Madrid,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Cameron Carter-Vickers,24,United States,DF,SCT Celtic,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dani Carvajal,30,Spain,DF,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
William Carvalho,30,Portugal,MF,ES Betis,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Casemiro,30,Brazil,MF,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Matty Cash,25,Poland,DF,ENG Aston Villa,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Timothy Castagne,26,Belgium,DF,ENG Leicester City,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Jean-Charles Castelletto,27,Cameroon,DF,FR Nantes,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Lucas Cavallini,29,Canada,FW,US Vancouver,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Edinson Cavani,35,Uruguay,FW,ES Valencia,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Daniel Chacón,21,Costa Rica,MF,CR CS Cartaginés,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Kwon Chang-hoon,28,Korea Republic,FWMF,KR Sangju Sangmu,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Luis Chávez,26,Mexico,MF,MX Pachuca,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Roozbeh Cheshmi,29,IR Iran,DFMF,IR Esteghlal,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Andreas Christensen,26,Denmark,DF,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
José Cifuentes,23,Ecuador,MF,US Los Angeles FC,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Pathé Ciss,28,Senegal,MF,ES Rayo Vallecano,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Sebastián Coates,32,Uruguay,DF,PT Sporting CP,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Rubin Colwill,20,Wales,MF,ENG Cardiff City,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Kingsley Coman,26,France,FW,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Eray Cömert,24,Switzerland,DF,ES Valencia,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Anthony Contreras,22,Costa Rica,FWMF,CR Club Sport Herediano,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Andreas Cornelius,29,Denmark,FW,DK FC Copenhagen,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Diogo Costa,23,Portugal,GK,PT Porto,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Thibaut Courtois,30,Belgium,GK,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Jason Cummings,27,Australia,FW,AU Central Coast,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Aimen Dahmen,25,Tunisia,GK,TN CS Sfaxien,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Mikkel Damsgaard,22,Denmark,MFFW,ENG Brentford,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Danilo,31,Brazil,DF,IT Juventus,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Jonathan David,22,Canada,FWMF,FR Lille,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Alphonso Davies,22,Canada,MFDF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
